Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Ismael Aaneba;FB;Strasbourg;11;0;0;0;0;0;100;0;0;0;0;0
Patrick van Aanholt;FB;Crystal Palace;1777;0.06;0.07;0.04;1.32;1.32;78.9;0.56;0.46;42.9;0.81;3.5
Issah Abbas;FW;Mainz 05;18;0;0;0;0;0;86.7;0;5;50;5;0
Yunis Abdelhamid;CB;Reims;2889;0.05;0.11;0.01;0.34;0.03;87.8;0.12;0.37;60;0.47;4.55
Sabit Abdulai;CM;Getafe;60;0;0;0;0;1.43;58.3;0;1.43;33.3;0;5.71
Mehdi Abeid;CM;Nantes;1320;0.07;0.05;0.05;1.9;0.48;85;0.82;1.56;71.9;1.22;5.78
Laurent Abergel;CM;Lorient;2963;0.04;0.04;0.04;1.7;0.52;83.5;0.64;0.67;71;1.4;8.18
Charles Abi;FW;Saint-Étienne;912;0.21;0.11;0.03;1.39;0.5;67.3;0.79;1.19;44.4;2.48;5.64
Matthis Abline;FW;Rennes;2;0;0;0;0;0;0;0;1;100;0;0
Pape Abou Cisse;CB;Saint-Étienne;1260;0.09;0.09;0.01;0.5;0.14;80.9;0.21;0.36;83.3;0.07;3.21
David Abraham;CB;Eintracht Frankfurt;1222;0.05;0.07;0.04;0.15;0.22;81.9;0.15;0.22;50;0;4.71
Tammy Abraham;FW;Chelsea;1040;0.55;0.2;0.08;1.55;0.17;68.3;0.69;0.52;31.6;1.12;3.28
Amir Abrashi;CM;Freiburg;60;0;0;0;0;0;81.8;0;0;0;2.86;1.43
Gennaro Acampora;CM;Spezia;441;0.06;0.03;0;1.22;0.61;84;0.2;1.02;41.7;2.45;4.49
Francesco Acerbi;CB;Lazio;2813;0.03;0.12;0.03;1.02;0.64;88.6;0.38;0.35;91.7;0.26;4.66
Ragnar Ache;FW;Eintracht Frankfurt;100;0.27;0.13;0;0;0;54.3;0;0;0;3.64;4.55
Marcos Acuña;FB;Sevilla;2330;0.04;0.06;0.11;2.24;1.39;80.5;1.27;1.58;68.3;1.27;4.52
Che Adams;FW;Southampton;2667;0.3;0.16;0.2;2.23;0.84;70;1.15;0.84;56.8;1.76;4.63
Tyler Adams;CM;RB Leipzig;1850;0.04;0.13;0.04;1.31;0.92;86.1;0.63;0.87;85.7;1.5;5.73
Sargis Adamyan;FW;Hoffenheim;479;0.42;0.11;0.32;4.15;1.51;71.9;2.26;0.57;27.3;2.08;2.83
Tosin Adarabioyo;CB;Fulham;2953;0.03;0.05;0.01;0.52;0.15;87.4;0.15;0.24;72.7;0.24;1.8
Bobby Adekanye;W;Cádiz;36;0.5;0.17;0;0;0;70;0;2.5;50;0;2.5
Yacine Adli;AM;Bordeaux;2418;0.05;0.06;0.17;3.42;0.89;82.6;1.97;2.04;66.3;1.6;6.91
Andrea Adorante;FW;Parma;10;0;0;0;0;0;0;0;0;0;10;10
Adrián;GK;Liverpool;270;0;0;0;0;0;76.8;0;0;0;0;0
Martin Agirregabiria;FB;Alavés;1558;0.01;0.1;0.05;1.33;0.92;71.5;0.69;0.23;50;0.52;3.35
Lucien Agoume;CM;Spezia;800;0;0.02;0.01;0.67;0.45;89.7;0.22;0.45;57.1;1.24;4.83
Felix Agu;FB;Werder Bremen;701;0.08;0.14;0.05;0.77;0.51;72.7;0.38;0.51;33.3;1.54;6.15
Kevin Agudelo;W;Spezia;1356;0.13;0.1;0.05;2.32;0.79;72.5;0.73;2.65;57.1;2.25;6.62
Nayef Aguerd;CB;Rennes;3147;0.08;0.1;0.03;0.4;0;91.4;0.11;0.23;72.7;0.29;3
Sergio Agüero;FW;Manchester City;559;0.29;0.11;0.21;2.58;0.97;84.1;0.97;1.29;57.1;2.1;4.03
Ruben Aguilar;FB;Monaco;2225;0.05;0.15;0.19;2.91;1.5;82.4;1.78;0.89;52.4;1.09;5.95
