Player;Pos;Squad;Min;Completed Passes into Final third;Yards Progressed From Passes;Passes Completed %;Long Passes Completed %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won;Aerial Duels Won %;Clearances
Ismael Aaneba;FB;Strasbourg;11;0;150;100;100;0;0;0;10;0;0;20
Patrick van Aanholt;FB;Crystal Palace;1777;3.45;352.5;78.9;51.7;3.5;1.73;0.96;0.56;0.51;47.6;2.03
Issah Abbas;FW;Mainz 05;18;5;530;86.7;100;0;0;0;5;0;0;0
Yunis Abdelhamid;CB;Reims;2889;2.52;361.9;87.8;73;4.55;1.74;1.43;1.18;2.9;65.5;5.3
Sabit Abdulai;CM;Getafe;60;0;12.9;58.3;33.3;5.71;1.43;0;2.86;1.43;50;1.43
Mehdi Abeid;CM;Nantes;1320;4.08;200.7;85;66.9;5.78;1.56;1.63;2.04;0.82;38.7;0.95
Laurent Abergel;CM;Lorient;2963;3.43;198.2;83.5;69.2;8.18;1.4;3.28;1.31;0.24;29.6;0.4
Charles Abi;FW;Saint-Étienne;912;0.89;33.1;67.3;30;5.64;0.69;0.4;1.78;3.56;36.7;0.59
Matthis Abline;FW;Rennes;2;0;0;0;0;0;0;0;0;0;0;0
Pape Abou Cisse;CB;Saint-Étienne;1260;2.14;313.6;80.9;64.4;3.21;2.29;0.79;0.71;4.07;79.2;10.1
David Abraham;CB;Eintracht Frankfurt;1222;3.68;312.8;81.9;65.8;4.71;1.1;0.96;0.81;2.87;60;2.43
Tammy Abraham;FW;Chelsea;1040;1.03;28.2;68.3;60;3.28;0.17;0.34;1.9;3.36;58.2;1.47
Amir Abrashi;CM;Freiburg;60;1.43;38.6;81.8;100;1.43;2.86;1.43;5.71;1.43;33.3;0
Gennaro Acampora;CM;Spezia;441;2.86;127.6;84;76.7;4.49;0.82;1.43;2.04;0;0;0.61
Francesco Acerbi;CB;Lazio;2813;3.67;333.6;88.6;75.4;4.66;1.98;1.21;0.99;2.46;74.8;5.02
Ragnar Ache;FW;Eintracht Frankfurt;100;0.91;26.4;54.3;0;4.55;0;0;4.55;11.8;76.5;0.91
Marcos Acuña;FB;Sevilla;2330;4.25;440.7;80.5;54.6;4.52;0.97;1.81;1.74;0.73;38;1.31
Che Adams;FW;Southampton;2667;0.91;55.2;70;69.9;4.63;0.37;0.57;0.98;1.59;25;0.54
Tyler Adams;CM;RB Leipzig;1850;4.13;260.3;86.1;62.9;5.73;1.5;1.5;1.41;1.21;56.8;1.94
Sargis Adamyan;FW;Hoffenheim;479;1.13;87.9;71.9;60;2.83;1.32;0.94;0.94;1.7;36;0.19
Tosin Adarabioyo;CB;Fulham;2953;2.07;363.7;87.4;73.6;1.8;1.68;0.79;0.49;3.05;71.9;7.35
Bobby Adekanye;W;Cádiz;36;0;2.5;70;0;2.5;0;0;2.5;0;0;0
Yacine Adli;AM;Bordeaux;2418;5.5;253;82.6;70.6;6.91;1.52;2.3;1.45;1.12;54.5;0.89
Andrea Adorante;FW;Parma;10;0;0;0;0;10;0;0;0;0;0;0
Adrián;GK;Liverpool;270;0;378.3;76.8;48.8;0;0;0;0;0;0;0
Martin Agirregabiria;FB;Alavés;1558;2.31;271.2;71.5;47.1;3.35;1.97;0.92;1.39;1.45;51;2.77
Lucien Agoume;CM;Spezia;800;4.38;220.8;89.7;80.4;4.83;2.25;1.24;1.8;1.12;62.5;1.57
Felix Agu;FB;Werder Bremen;701;1.15;146.5;72.7;40;6.15;2.69;2.05;0.64;1.54;46.2;2.95
Kevin Agudelo;W;Spezia;1356;1.19;60.9;72.5;60.4;6.62;0.33;1.99;1.32;1.32;35.7;0.46
Nayef Aguerd;CB;Rennes;3147;3.91;515.8;91.4;75.5;3;1.11;1.06;0.63;3.66;69.2;5.17
Sergio Agüero;FW;Manchester City;559;1.77;46;84.1;100;4.03;0.65;0;0.32;0.32;25;0.16
Ruben Aguilar;FB;Monaco;2225;3.12;277;82.4;56.5;5.95;1.5;1.94;1.62;2.02;56.8;2.19
Naouirou Ahamada;CM;Stuttgart;252;4.29;117.9;90;76.9;4.29;1.43;0.36;2.14;0.36;33.3;0.36
Matteo Ahlinvi;CM;Nîmes;899;1.6;85.7;79.2;70.2;5.9;0.4;1.9;1.6;0.5;31.3;0.9
Cheikh Ahmadou Dieng;FW;Marseille;129;0;16.4;75;0;1.43;0.71;1.43;1.43;0.71;16.7;0
Jean-Eudes Aholou;CM;Strasbourg;2146;2.82;119.2;84.1;72.7;5.13;2.27;1.47;2.1;1.81;58.9;1.72
Jean-Eudes Aholou;CM;Monaco;36;2.5;82.5;80;0;2.5;5;0;0;2.5;50;2.5
Joseph Aidoo;CB;Celta Vigo;1289;2.52;245.8;82.6;66.4;3.85;1.12;1.19;0.91;3.43;53.8;7.76
Ola Aina;FB;Fulham;2664;3.31;348.7;77.7;48;2.2;1.76;0.84;1.05;1.11;43.4;4.09
