Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Ismael Aaneba;FB;Strasbourg;11;0;100;0;150;0;0;0;0;0;0;10;0
Patrick van Aanholt;FB;Crystal Palace;1777;0.04;78.9;3.45;352.5;0.05;0.46;42.9;3.5;1.73;0.96;0.56;47.6
Issah Abbas;FW;Mainz 05;18;0;86.7;5;530;0;5;50;0;0;0;5;0
Yunis Abdelhamid;CB;Reims;2889;0.01;87.8;2.52;361.9;0;0.37;60;4.55;1.74;1.43;1.18;65.5
Sabit Abdulai;CM;Getafe;60;0;58.3;0;12.9;0;1.43;33.3;5.71;1.43;0;2.86;50
Mehdi Abeid;CM;Nantes;1320;0.05;85;4.08;200.7;0.14;1.56;71.9;5.78;1.56;1.63;2.04;38.7
Laurent Abergel;CM;Lorient;2963;0.04;83.5;3.43;198.2;0.03;0.67;71;8.18;1.4;3.28;1.31;29.6
Charles Abi;FW;Saint-Étienne;912;0.03;67.3;0.89;33.1;0.1;1.19;44.4;5.64;0.69;0.4;1.78;36.7
Matthis Abline;FW;Rennes;2;0;0;0;0;0;1;100;0;0;0;0;0
Pape Abou Cisse;CB;Saint-Étienne;1260;0.01;80.9;2.14;313.6;0;0.36;83.3;3.21;2.29;0.79;0.71;79.2
David Abraham;CB;Eintracht Frankfurt;1222;0.04;81.9;3.68;312.8;0;0.22;50;4.71;1.1;0.96;0.81;60
Tammy Abraham;FW;Chelsea;1040;0.08;68.3;1.03;28.2;0.09;0.52;31.6;3.28;0.17;0.34;1.9;58.2
Amir Abrashi;CM;Freiburg;60;0;81.8;1.43;38.6;0;0;0;1.43;2.86;1.43;5.71;33.3
Gennaro Acampora;CM;Spezia;441;0;84;2.86;127.6;0;1.02;41.7;4.49;0.82;1.43;2.04;0
Francesco Acerbi;CB;Lazio;2813;0.03;88.6;3.67;333.6;0;0.35;91.7;4.66;1.98;1.21;0.99;74.8
Ragnar Ache;FW;Eintracht Frankfurt;100;0;54.3;0.91;26.4;0;0;0;4.55;0;0;4.55;76.5
Marcos Acuña;FB;Sevilla;2330;0.11;80.5;4.25;440.7;0.19;1.58;68.3;4.52;0.97;1.81;1.74;38
Che Adams;FW;Southampton;2667;0.2;70;0.91;55.2;0.03;0.84;56.8;4.63;0.37;0.57;0.98;25
Tyler Adams;CM;RB Leipzig;1850;0.04;86.1;4.13;260.3;0;0.87;85.7;5.73;1.5;1.5;1.41;56.8
Sargis Adamyan;FW;Hoffenheim;479;0.32;71.9;1.13;87.9;0.19;0.57;27.3;2.83;1.32;0.94;0.94;36
Tosin Adarabioyo;CB;Fulham;2953;0.01;87.4;2.07;363.7;0;0.24;72.7;1.8;1.68;0.79;0.49;71.9
Bobby Adekanye;W;Cádiz;36;0;70;0;2.5;0;2.5;50;2.5;0;0;2.5;0
Yacine Adli;AM;Bordeaux;2418;0.17;82.6;5.5;253;0.22;2.04;66.3;6.91;1.52;2.3;1.45;54.5
Andrea Adorante;FW;Parma;10;0;0;0;0;0;0;0;10;0;0;0;0
Adrián;GK;Liverpool;270;0;76.8;0;378.3;0;0;0;0;0;0;0;0
Martin Agirregabiria;FB;Alavés;1558;0.05;71.5;2.31;271.2;0;0.23;50;3.35;1.97;0.92;1.39;51
Lucien Agoume;CM;Spezia;800;0.01;89.7;4.38;220.8;0;0.45;57.1;4.83;2.25;1.24;1.8;62.5
Felix Agu;FB;Werder Bremen;701;0.05;72.7;1.15;146.5;0.13;0.51;33.3;6.15;2.69;2.05;0.64;46.2
Kevin Agudelo;W;Spezia;1356;0.05;72.5;1.19;60.9;0.26;2.65;57.1;6.62;0.33;1.99;1.32;35.7
Nayef Aguerd;CB;Rennes;3147;0.03;91.4;3.91;515.8;0;0.23;72.7;3;1.11;1.06;0.63;69.2
Sergio Agüero;FW;Manchester City;559;0.21;84.1;1.77;46;0.32;1.29;57.1;4.03;0.65;0;0.32;25
Ruben Aguilar;FB;Monaco;2225;0.19;82.4;3.12;277;0.08;0.89;52.4;5.95;1.5;1.94;1.62;56.8
Naouirou Ahamada;CM;Stuttgart;252;0;90;4.29;117.9;0.36;3.21;69.2;4.29;1.43;0.36;2.14;33.3
Matteo Ahlinvi;CM;Nîmes;899;0.03;79.2;1.6;85.7;0;1.8;75;5.9;0.4;1.9;1.6;31.3
Cheikh Ahmadou Dieng;FW;Marseille;129;0;75;0;16.4;0;0.71;100;1.43;0.71;1.43;1.43;16.7
Jean-Eudes Aholou;CM;Strasbourg;2146;0.05;84.1;2.82;119.2;0;0.97;62.2;5.13;2.27;1.47;2.1;58.9
Jean-Eudes Aholou;CM;Monaco;36;0;80;2.5;82.5;0;0;0;2.5;5;0;0;50
Joseph Aidoo;CB;Celta Vigo;1289;0.04;82.6;2.52;245.8;0.07;0.35;83.3;3.85;1.12;1.19;0.91;53.8
Ola Aina;FB;Fulham;2664;0.05;77.7;3.31;348.7;0;0.71;61.8;2.2;1.76;0.84;1.05;43.4
Rayan Aït Nouri;FB;Wolves;1404;0.19;91.3;0.48;357.1;0.95;2.37;60.7;4.62;0.96;1.03;0.95;33.3
Rayan Aït Nouri;FB;Angers;187;0.06;83.7;1.92;197.1;0.45;3.81;80;5.24;0.48;0.95;1.03;40
