Player;Pos;Squad;Min;Save %;Expected Post-Shot xG;Expected Post-Shot xG/Shots on Target;Crosses Stopped %;Passes Launched %
Adrián;GK;Liverpool;270;52.6;2.63;0.42;6.9;31.2
Rúnar Alex Rúnarsson;GK;Arsenal;16;100;0.5;0.04;0;30
Alisson;GK;Liverpool;2970;74.8;1.15;0.31;10.1;22.6
Saturnin Allagbé;GK;Dijon;1080;54.7;1.68;0.29;3.8;48.2
Nícolas Andrade;GK;Udinese;180;28.6;2;0.58;0;25.8
Ángel;GK;Granada;90;85.7;2.7;0.22;0;76.9
Alphonse Areola;GK;Fulham;3240;73.1;1.52;0.32;9.8;38.2
Kepa Arrizabalaga;GK;Chelsea;585;68.2;1.14;0.31;12.5;29.8
Sergio Asenjo;GK;Villarreal;3240;70.2;0.97;0.25;9.8;31.3
Emil Audero;GK;Sampdoria;3330;71.5;1.39;0.27;7.9;44.6
Édgar Badía;GK;Elche;2700;69.6;1.52;0.3;7.6;39.5
Stefan Bajic;GK;Saint-Étienne;90;0;1.8;0.44;16.7;37.9
Oliver Baumann;GK;Hoffenheim;2790;64.3;1.55;0.33;4;32.9
Walter Benítez;GK;Nice;3420;72.5;1.27;0.25;7;25.6
Alessandro Berardi;GK;Hellas Verona;28;100;0;0.05;20;85.7
Paul Bernardoni;GK;Angers;3420;61.9;1.31;0.33;7.5;43.9
Dimitry Bertaud;GK;Montpellier;745;75;1.45;0.29;13.4;56.7
Rubén Blanco;GK;Celta Vigo;1637;56.7;1.25;0.37;6;40.2
Elias Bördner;GK;Eint Frankfurt;90;83.3;0.8;0.13;0;50
Yassine Bounou;GK;Sevilla;2970;76;0.78;0.22;11.3;34
Claudio Bravo;GK;Betis;1800;69.6;1.35;0.34;5.4;52.4
Fabian Bredlow;GK;Stuttgart;90;88.9;2.4;0.27;5.9;37
Gianluigi Buffon;GK;Juventus;720;82.4;0.63;0.16;2.5;24.4
Roman Bürki;GK;Dortmund;1665;70.8;1.37;0.26;7.4;30.8
Jack Butland;GK;Crystal Palace;90;60;0.8;0.17;10;76.9
