Sabit Abdulai;MF;Getafe
Marcos Acuña;DF;Sevilla
Bobby Adekanye;FWMF;Cádiz
Martin Agirregabiria;DFMF;Alavés
Joseph Aidoo;DF;Celta Vigo
Carlos Akapo;DF;Cádiz
Paul Akouokou;MF;Betis
Jony Álamo;MF;Elche
Jordi Alba;DF;Barcelona
Raúl Albiol;DF;Villarreal
Paco Alcácer;FW;Villarreal
Pedro Alcalá;DF;Cádiz
Rubén Alcaraz;MF;Valladolid
Iván Alejo;MFFW;Cádiz
Carles Aleñá;MF;Barcelona
Carles Aleñá;MFFW;Getafe
Alfon;MF;Celta Vigo
Sergio Álvarez;MFDF;Eibar
Yeray Álvarez;DF;Athletic Club
Emmanuel Amankwaa Akurugu;DF;Getafe
Jon Ander Garrido;MF;Cádiz
Ángel;GK;Granada
Miguel Ángel Rubio;DF;Valladolid
José Ángel;DF;Eibar
José Antonio Miranda;MFDF;Getafe
Aritz Arambarri;DF;Real Sociedad
Mauro Arambarri;MF;Getafe
Néstor Araujo;DF;Celta Vigo
Ronald Araújo;DF;Barcelona
Anaitz Arbilla;DF;Eibar
Unai Arietaleanizbeaskoa;FWMF;Eibar
Sergio Arribas;FWDF;Real Madrid
Sergio Asenjo;GK;Villarreal
Marco Asensio;FWMF;Real Madrid
Iago Aspas;FW;Celta Vigo
Miguel Atienza;MF;Eibar
Ezequiel Ávila;MFFW;Osasuna
Ramon Azeez;MFDF;Granada
Carlos Bacca;FW;Villarreal
Édgar Badía;GK;Elche
Alex Baena;MF;Villarreal
Miguel Baeza;MFFW;Celta Vigo
Mikel Balenziaga;DF;Athletic Club
Barcia;DF;Granada
Enis Bardhi;MF;Levante
Kike Barja;MFFW;Osasuna
Marc Baró;DF;Cádiz
Antonio Barragán;DF;Elche
Ander Barrenetxea;MFFW;Real Sociedad
Marc Bartra;DF;Betis
Álvaro Bastida;MF;Cádiz
Rodrigo Battaglia;MF;Alavés
Jon Bautista;FWMF;Real Sociedad
Fran Beltrán;MF;Celta Vigo
Sergio Benito;FW;Valladolid
Karim Benzema;FW;Real Madrid
Yuri Berchiche;DF;Athletic Club
Álex Berenguer;MFFW;Athletic Club
Pedro Bigas;DF;Eibar
Blanco;MFDF;Real Madrid
Alejandro Blanco;MF;Valencia
Rubén Blanco;GK;Celta Vigo
Alejandro Blesa;MF;Levante
Yann Bodiger;MF;Cádiz
Yassine Bounou;GK;Sevilla
Lucas Boyé;FW;Elche
Martin Braithwaite;FW;Barcelona
Darko Brašanac;MF;Osasuna
Álvaro Bravo;MF;Granada
Claudio Bravo;GK;Betis
Yan Brice Eteki;MF;Granada
Juan Brunet;MF;Granada
Bryan;FW;Sevilla
Bryan;MFFW;Eibar
Ante Budimir;FW;Osasuna
Esteban Burgos;DF;Eibar
Burgui;MF;Alavés
Sergio Busquets;MF;Barcelona
Erick Cabaco;DF;Getafe
Cala;DF;Cádiz
Jonathan Calleri;FW;Osasuna
Dani Calvo;DF;Elche
José Campaña;MF;Levante
Sergio Canales;MFFW;Betis
Álex Cantero;FW;Levante
Ander Capa;DF;Athletic Club
Étienne Capoue;MF;Villarreal
Isaac Carcelen;DF;Cádiz
Cárdenas;GK;Levante
Marc Cardona;FWMF;Osasuna
Diego Carlos;DF;Sevilla
Juan Carlos;MFFW;Huesca
Yannick Carrasco;DFMF;Atlético Madrid
Sergio Carreira;DF;Celta Vigo
Guido Carrillo;FW;Elche
Dani Carvajal;DF;Real Madrid
William Carvalho;MF;Betis
Casemiro;MF;Real Madrid
Sofian Chakla;DF;Villarreal
Sofian Chakla;DF;Getafe
Chema;DFMF;Getafe
Denis Cheryshev;MF;Valencia
Samuel Chukwueze;MFFW;Villarreal
Víctor Chust;DF;Real Madrid
Cifu;DF;Elche
Alberto Cifuentes;GK;Cádiz
Jasper Cillessen;GK;Valencia
Carlos Clerc;DF;Levante
Coke;DF;Levante
Francis Coquelin;MF;Villarreal
Iñigo Córdoba;FWMF;Athletic Club
Iñigo Córdoba;MF;Alavés
Ángel Correa;FWMF;Atlético Madrid
Rober Correa;DF;Eibar
Thierry Correia;DF;Valencia
Diego Costa;FW;Atlético Madrid
Jaume Costa;DFMF;Villarreal
Thibaut Courtois;GK;Real Madrid
Philippe Coutinho;MFFW;Barcelona
Juan Cruz Armada;DF;Osasuna
Sergio Cubero Ezcurra;MF;Eibar
Cucho;FWMF;Getafe
Marc Cucurella;MF;Getafe
Patrick Cutrone;FW;Valencia
Moussa Dembélé;FWMF;Atlético Madrid
Ousmane Dembélé;FWDF;Barcelona
Sergiño Dest;DF;Barcelona
Deyverson;FW;Alavés
Abdoulay Diaby;MF;Getafe
Mouctar Diakhaby;DF;Valencia
Víctor Díaz;DF;Granada
Papakouli Diop;MF;Eibar
Djené;DF;Getafe
Marko Dmitrović;GK;Eibar
Jaume Doménech;GK;Valencia
Carlos Dominguez;DF;Celta Vigo
John Donald;DF;Elche
Cheick Doukouré;MF;Levante
Idrissa Doumbia;MF;Huesca
Domingos Duarte;DF;Granada
Óscar Duarte;DF;Levante
Rubén Duarte;DF;Alavés
Unai Dufur;DF;Eibar
Hugo Duro;FW;Real Madrid
Aritz Elustondo;DF;Real Sociedad
Rodrigo Ely;DF;Alavés
Emerson;DF;Betis
Youssef En-Nesyri;FW;Sevilla
Sergi Enrich;FW;Eibar
Aarón Escandell;GK;Granada
Dani Escriche;FWMF;Huesca
Sergio Escudero;DF;Sevilla
Alfonso Espino;DF;Cádiz
Vicente Esquerdo;MF;Valencia
Pervis Estupiñán;DF;Villarreal
Xabier Etxeita;DF;Getafe
Edu Expósito;MF;Eibar
Jokin Ezkieta;GK;Athletic Club
Fali;DFMF;Cádiz
Ansu Fati;FW;Barcelona
Nabil Fekir;MFFW;Betis
Felipe;DF;Atlético Madrid
João Félix;FWMF;Atlético Madrid
Aitor Fernández;GK;Levante
Álex Fernández;MF;Cádiz
Álvaro Fernández;GK;Huesca
Andrés Fernández;GK;Huesca
Augusto Fernández;MF;Cádiz
Carlos Fernández;FW;Sevilla
Carlos Fernández;FWMF;Real Sociedad
Joaquín Fernández;DF;Valladolid
Fernando;MF;Sevilla
David Ferreiro;MFFW;Huesca
Facundo Ferreyra;FW;Celta Vigo
Fidel;MFDF;Elche
Junior Firpo;DF;Barcelona
Kingsley Fobi;DF;Granada
Ramón Folch;MF;Elche
José Fontán;DF;Celta Vigo
Dimitri Foulquier;DF;Granada
Juan Foyth;DFMF;Villarreal
Jorge de Frutos;MFFW;Levante
Ramiro Funes Mori;DF;Villarreal
Javi Galán;DF;Huesca
Enric Gallego;FW;Osasuna
Kévin Gameiro;FW;Valencia
Aleix García;MF;Eibar
Borja García;MFFW;Huesca
Dani García;MF;Athletic Club
David García;DF;Osasuna
Manu García;MF;Alavés
Raúl García;DFMF;Valladolid
Raúl García;FWMF;Athletic Club
Rubén García;MFFW;Osasuna
Sergi García;MF;Alavés
Unai García;DF;Osasuna
Mario Gaspar;DF;Villarreal
Paulo Gazzaniga;GK;Elche
David Gil;GK;Cádiz
Álvaro Giménez;FWMF;Cádiz
Dani Gómez;FW;Levante
Ibai Gómez;MF;Athletic Club
Maxi Gómez;FW;Valencia
Moi Gómez;MFFW;Villarreal
Papu Gómez;MFFW;Sevilla
Sergi Gómez;DF;Sevilla
Sergio Gómez;MFFW;Huesca
Maxime Gonalons;MF;Granada
Bruno González;DF;Valladolid
Diego González;DF;Elche
Sergio González;MF;Cádiz
Urko González;MF;Real Sociedad
Andoni Gorosabel;DF;Real Sociedad
Antoine Griezmann;FWMF;Barcelona
Andrés Guardado;MF;Betis
Sergi Guardiola;FW;Valladolid
Nemanja Gudelj;MFDF;Sevilla
Gonçalo Guedes;MFFW;Valencia
Ander Guevara;MF;Real Sociedad
John Guidetti;FWMF;Alavés
Hugo Guillamón;DF;Valencia
Jon Guridi;MF;Real Sociedad
Raúl Guti;MF;Elche
Marcos Mauro López Gutiérrez;DF;Cádiz
Miguel Gutiérrez;DF;Real Madrid
Munir El Haddadi;FW;Sevilla
Eden Hazard;FWMF;Real Madrid
Mario Hermoso;DF;Atlético Madrid
