Ismael Aaneba;FWDF;Strasbourg
Yunis Abdelhamid;DF;Reims
Mehdi Abeid;MF;Nantes
Laurent Abergel;MF;Lorient
Charles Abi;FWMF;Saint-Étienne
Matthis Abline;FW;Rennes
Pape Abou Cisse;DF;Saint-Étienne
Yacine Adli;MF;Bordeaux
Nayef Aguerd;DF;Rennes
Ruben Aguilar;DFFW;Monaco
Matteo Ahlinvi;MF;Nîmes
Cheikh Ahmadou Dieng;FW;Marseille
Jean-Eudes Aholou;MF;Strasbourg
Jean-Eudes Aholou;MF;Monaco
Rayan Aït Nouri;DF;Angers
Ludovic Ajorque;FW;Strasbourg
Marley Aké;FW;Marseille
Sofiane Alakouch;DF;Nîmes
Mohamed Ali Cho;FWMF;Angers
Rachid Alioui;FW;Angers
Saturnin Allagbé;GK;Dijon
Ibrahim Amadou;MF;Angers
Romain Amalfitano;FWDF;Dijon
Jordan Amavi;DF;Marseille
Thierry Ambrose;FW;Metz
Joachim Andersen;DF;Lyon
Benjamin André;MF;Lille
Victorien Angban;MF;Metz
Houssem Aouar;MFFW;Lyon
Adil Aouchiche;MFFW;Saint-Étienne
Dennis Appiah;DF;Nantes
Luiz Araújo;MF;Lille
Karim Aribi;FW;Nîmes
Roger Assalé;FWMF;Dijon
Youcef Attal;DFMF;Nice
Jean-Kévin Augustin;FW;Nantes
Ludovic Baal;DF;Brest
Loïc Bade;DF;Lens
Stéphane Bahoken;FW;Angers
Stefan Bajic;GK;Saint-Étienne
Mitchel Bakker;DF;Paris Saint-Germain
Dilane Bakwa;FWMF;Bordeaux
Leonardo Balerdi;DF;Marseille
Fodé Ballo-Touré;DF;Monaco
Abdoulaye Bamba;DF;Angers
Jonathan Bamba;MF;Lille
Robson Bambu;DF;Nice
Simon Banza;FW;Lens
Danilo Barbosa;DF;Nice
Melvin Bard;DF;Lyon
Toma Bašić;MF;Bordeaux
Cristian Battocchio;MFFW;Brest
Paul Baysse;DF;Bordeaux
Erwan Belhadji;MF;Dijon
Haris Belkebla;MF;Brest
Jean-Ricner Bellegarde;MFFW;Strasbourg
Sami Ben Amar;MF;Nîmes
Hatem Ben Arfa;MFFW;Bordeaux
Salim Ben Seghir;DF;Nice
Wissam Ben Yedder;FW;Monaco
Samy Benchama;MFDF;Montpellier
Darío Benedetto;FW;Marseille
Walter Benítez;GK;Nice
