Gennaro Acampora;MFFW;Spezia
Francesco Acerbi;DF;Lazio
Andrea Adorante;FW;Parma
Lucien Agoume;MF;Spezia
Kevin Agudelo;FW;Spezia
Jean-Daniel Akpa-Akpro;MF;Lazio
Luis Alberto;MF;Lazio
Bruno Alves;DF;Parma
Wisdom Amey;DF;Bologna
Sofyan Amrabat;MF;Fiorentina
Djavan Anderson;DF;Lazio
Nícolas Andrade;GK;Udinese
Davide Angelo Ghislandi;DF;Atalanta
Philip Ankhrah;MF;Hellas Verona
Cristian Ansaldi;DF;Torino
Valentin Antov;DF;Bologna
Nicolò Armini;DF;Lazio
Tolgay Arslan;MF;Udinese
Kwadwo Asamoah;DFMF;Cagliari
Kristoffer Askildsen;MF;Sampdoria
Emil Audero;GK;Sampdoria
Tommaso Augello;DF;Sampdoria
Kaan Ayhan;DF;Sassuolo
Milan Badelj;MF;Genoa
Tiemoué Bakayoko;MF;Napoli
Keita Baldé;FW;Sampdoria
Botond Balogh;DF;Parma
Mattia Bani;DF;Genoa
Mattia Bani;DF;Parma
Antonín Barák;MFFW;Hellas Verona
Federico Barba;DF;Benevento
Nicolò Barella;MF;Inter
Antonio Barreca;DF;Fiorentina
Musa Barrow;FWMF;Bologna
Paolo Bartolomei;MF;Spezia
Daniele Baselli;MF;Torino
Alessandro Bastoni;DF;Inter
Simone Bastoni;DF;Spezia
Bastos;DF;Lazio
Rodrigo Becão;DF;Udinese
Valon Behrami;MF;Genoa
Andrea Belotti;FW;Torino
Ahmad Benali;MF;Crotone
Ismaël Bennacer;MF;Milan
Rodrigo Bentancur;MF;Juventus
Alessandro Berardi;GK;Hellas Verona
Domenico Berardi;FWMF;Sassuolo
Álex Berenguer;MF;Torino
Bartosz Bereszyński;DF;Sampdoria
Federico Bernardeschi;DFMF;Juventus
Marco Bertini;MF;Lazio
Daniel Bessa;MFFW;Hellas Verona
Cristiano Biraghi;DF;Fiorentina
Davide Biraschi;DF;Genoa
Jeremie Boga;FWMF;Sassuolo
Giacomo Bonaventura;MF;Fiorentina
Federico Bonazzoli;FW;Torino
Federico Bonazzoli;FW;Sampdoria
Kevin Bonifazi;DF;Udinese
Leonardo Bonucci;DF;Juventus
Mehdi Bourabia;MF;Sassuolo
Edoardo Bove;MF;Roma
Jayden Braaf;FW;Udinese
Gleison Bremer;DF;Torino
Marcelo Brozović;MF;Inter
Gastón Brugman;MF;Parma
Juan Brunetta;FWMF;Parma
Gianluigi Buffon;GK;Juventus
Alessandro Buongiorno;DF;Torino
Maxime Busi;DF;Parma
Martín Cáceres;DF;Fiorentina
Felipe Caicedo;FW;Lazio
Arturo Calabresi;DFFW;Bologna
Arturo Calabresi;DF;Cagliari
Davide Calabria;DF;Milan
Riccardo Calafiori;DF;Roma
Mattia Caldara;DF;Atalanta
Luca Caldirola;DF;Benevento
Hakan Çalhanoğlu;MFFW;Milan
Fabrizio Caligara;MF;Cagliari
José Callejón;FWMF;Fiorentina
Drissa Camara;MF;Parma
Antonio Candreva;MF;Sampdoria
Elio Capradossi;DF;Spezia
Gianluca Caprari;MFFW;Benevento
Francesco Caputo;FW;Sassuolo
Andrea Carboni;DF;Cagliari
Giuseppe Caso;MF;Genoa
Francesco Cassata;DF;Genoa
Samu Castillejo;FW;Milan
Gaetano Castrovilli;MF;Fiorentina
Danilo Cataldi;MF;Lazio
Federico Ceccherini;DF;Hellas Verona
Federico Ceccherini;DF;Fiorentina
Luca Ceppitelli;DF;Cagliari
Alberto Cerri;FW;Cagliari
Julian Chabot;DF;Spezia
Giorgio Chiellini;DF;Juventus
Federico Chiesa;DF;Fiorentina
Federico Chiesa;MFDF;Juventus
Vlad Chiricheș;DF;Sassuolo
Luca Cigarini;MF;Crotone
Antonio Cioffi;FW;Napoli
Ebrima Colley;FWMF;Hellas Verona
Omar Colley;DF;Sampdoria
Simone Colombi;GK;Parma
Lorenzo Colombo;FW;Milan
Andrea Consigli;GK;Sassuolo
Andrea Conti;DF;Milan
Andrea Conti;DF;Parma
Alex Cordaz;GK;Crotone
Andreas Cornelius;FW;Parma
Joaquín Correa;FW;Lazio
Félix Correia;MF;Juventus
Angelo da Costa Júnior;GK;Bologna
Douglas Costa;MFFW;Juventus
Mamadou Coulibaly;MF;Udinese
Alessio Cragno;GK;Cagliari
Gian Crespi;GK;Crotone
Domenico Criscito;DF;Genoa
Bryan Cristante;DFMF;Roma
Giovanni Crociata;DFMF;Crotone
Juan Cuadrado;DFMF;Juventus
Giuseppe Cuomo;DF;Crotone
Patrick Cutrone;FWMF;Fiorentina
Wylan Cyprien;MF;Parma
Lennart-Marten Czyborra;DF;Genoa
Danilo D'Ambrosio;DF;Inter
Bryan Dabo;MF;Benevento
Diogo Dalot;DF;Milan
Mikkel Damsgaard;MFFW;Sampdoria
Danilo;DF;Juventus
Andrea Danzi;MFDF;Hellas Verona
Ebrima Darboe;MF;Roma
Matteo Darmian;DF;Inter
Matteo Darmian;DF;Parma
Paweł Dawidowicz;DF;Hellas Verona
Sebastien De Maio;DF;Udinese
Rodrigo De Paul;MF;Udinese
Mattia De Sciglio;DF;Juventus
Lorenzo De Silvestri;DF;Bologna
Grégoire Defrel;FWMF;Sassuolo
Alessandro Deiola;MF;Spezia
Alessandro Deiola;MF;Cagliari
Lorenzo Del Pinto;MF;Benevento
Cristian Dell'Orco;DF;Spezia
Merih Demiral;DF;Juventus
Diego Demme;MF;Napoli
Stefano Denswil;DF;Bologna
Fabio Depaoli;DF;Benevento
Fabio Depaoli;MF;Sampdoria
Fabio Depaoli;DF;Atalanta
Kastriot Dermaku;DF;Parma
Kiril Despodov;FW;Cagliari
Mattia Destro;FW;Genoa
Gerard Deulofeu;FW;Udinese
Jacopo Dezi;FWMF;Parma
Samuel Di Carmine;FW;Hellas Verona
Samuel Di Carmine;FW;Crotone
Giovanni Di Lorenzo;DF;Napoli
Alessandro Di Pardo;MFDF;Juventus
Giuseppe Di Serio;FWMF;Benevento
Amad Diallo;MF;Atalanta
Amadou Diambo;FW;Benevento
Amadou Diawara;MF;Roma
Brahim Díaz;MFFW;Milan
Daan Dierckx;DF;Parma
Mitchell Dijks;DF;Bologna
Federico Dimarco;DF;Hellas Verona
Koffi Djidji;DF;Crotone
Berat Djimsiti;DF;Atalanta
Nicolás Domínguez;MF;Bologna
Gianluigi Donnarumma;GK;Milan
Bartłomiej Drągowski;GK;Fiorentina
Denis Drăguș;FWMF;Crotone
Radu Drăgușin;DF;Juventus
Léo Duarte;DF;Milan
Alfred Duncan;MF;Fiorentina
Alfred Duncan;MF;Cagliari
Paulo Dybala;FW;Juventus
Edin Džeko;FW;Roma
Steeve-Mike Ebongue;MF;Genoa
Simone Edera;DFMF;Torino
Albin Ekdal;MF;Sampdoria
Elif Elmas;MFFW;Napoli
Manu Emmanuel Gyabuaa;MF;Atalanta
Alan Empereur;DF;Hellas Verona
Christian Eriksen;MF;Inter
