Player;Pos;Squad;Min
Ismael Aaneba;FB;Strasbourg;11
Patrick van Aanholt;FB;Crystal Palace;1777
Issah Abbas;FW;Mainz 05;18
Yunis Abdelhamid;CB;Reims;2889
Sabit Abdulai;CM;Getafe;60
Mehdi Abeid;CM;Nantes;1320
Laurent Abergel;CM;Lorient;2963
Charles Abi;FW;Saint-Étienne;912
Matthis Abline;FW;Rennes;2
Pape Abou Cisse;CB;Saint-Étienne;1260
David Abraham;CB;Eintracht Frankfurt;1222
Tammy Abraham;FW;Chelsea;1040
Amir Abrashi;CM;Freiburg;60
Gennaro Acampora;CM;Spezia;441
Francesco Acerbi;CB;Lazio;2813
Ragnar Ache;FW;Eintracht Frankfurt;100
Marcos Acuña;FB;Sevilla;2330
Che Adams;FW;Southampton;2667
Tyler Adams;CM;RB Leipzig;1850
Sargis Adamyan;FW;Hoffenheim;479
Tosin Adarabioyo;CB;Fulham;2953
Bobby Adekanye;W;Cádiz;36
Yacine Adli;AM;Bordeaux;2418
Andrea Adorante;FW;Parma;10
Adrián;GK;Liverpool;270
Martin Agirregabiria;FB;Alavés;1558
Lucien Agoume;CM;Spezia;800
Felix Agu;FB;Werder Bremen;701
Kevin Agudelo;W;Spezia;1356
Nayef Aguerd;CB;Rennes;3147
Sergio Agüero;FW;Manchester City;559
Ruben Aguilar;FB;Monaco;2225
Naouirou Ahamada;CM;Stuttgart;252
Matteo Ahlinvi;CM;Nîmes;899
Cheikh Ahmadou Dieng;FW;Marseille;129
Jean-Eudes Aholou;CM;Strasbourg;2146
Jean-Eudes Aholou;CM;Monaco;36
Joseph Aidoo;CB;Celta Vigo;1289
Ola Aina;FB;Fulham;2664
Rayan Aït Nouri;FB;Wolves;1404
Rayan Aït Nouri;FB;Angers;187
Semi Ajayi;CB;West Brom;2780
Ludovic Ajorque;FW;Strasbourg;2967
Manuel Akanji;CB;Dortmund;2350
Carlos Akapo;FB;Cádiz;865
Marley Aké;W;Marseille;146
Nathan Aké;CB;Manchester City;797
Paul Akouokou;CM;Betis;378
Jean-Daniel Akpa-Akpro;CM;Lazio;1056
Kevin Akpoguma;CB;Hoffenheim;1184
David Alaba;CB;Bayern Munich;2675
Sofiane Alakouch;FB;Nîmes;1505
Jony Álamo;CM;Elche;73
Lucas Alario;FW;Leverkusen;1245
Jordi Alba;FB;Barcelona;3025
Luis Alberto;CM;Lazio;2618
Raúl Albiol;CB;Villarreal;3115
Marc Albrighton;W;Leicester City;1746
Paco Alcácer;FW;Villarreal;1544
Pedro Alcalá;CB;Cádiz;909
Thiago Alcántara;CM;Liverpool;1854
Rubén Alcaraz;CM;Valladolid;2165
Omar Alderete;CB;Hertha BSC;1299
Toby Alderweireld;CB;Tottenham;2240
Iván Alejo;W;Cádiz;827
Carles Aleñá;CM;Barcelona;48
Carles Aleñá;CM;Getafe;1366
Rúnar Alex Rúnarsson;GK;Arsenal;16
Trent Alexander-Arnold;FB;Liverpool;3031
Alfon;W;Celta Vigo;34
Mohamed Ali Cho;W;Angers;348
Ezgjan Alioski;FB;Leeds United;2461
Rachid Alioui;FW;Angers;15
Alisson;GK;Liverpool;2970
Saturnin Allagbé;GK;Dijon;1080
Allan;CM;Everton;2051
Dele Alli;AM;Tottenham;620
Miguel Almirón;AM;Newcastle Utd;2429
Marcos Alonso;FB;Chelsea;960
Sergio Álvarez;CM;Eibar;1568
Yeray Álvarez;CB;Athletic Club;1948
Bruno Alves;CB;Parma;1632
Steven Alzate;CM;Brighton;896
Ibrahim Amadou;CM;Angers;1504
Romain Amalfitano;CM;Dijon;116
Emmanuel Amankwaa Akurugu;FB;Getafe;45
