Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Ismael Aaneba;FB;Strasbourg;11;0;0;0;0;0;0;0;0;0;0;0;0
Patrick van Aanholt;FB;Crystal Palace;1777;0;0.06;0.07;0.51;47.6;1.93;0.04;1.32;0.46;42.9;0.81;3.5
Issah Abbas;FW;Mainz 05;18;0;0;0;0;0;5;0;0;5;50;5;0
Yunis Abdelhamid;CB;Reims;2889;0.09;0.05;0.11;2.9;65.5;0.65;0.01;0.03;0.37;60;0.47;4.55
Sabit Abdulai;CM;Getafe;60;0;0;0;1.43;50;0;0;1.43;1.43;33.3;0;5.71
Mehdi Abeid;CM;Nantes;1320;0;0.07;0.05;0.82;38.7;0.88;0.05;0.48;1.56;71.9;1.22;5.78
Laurent Abergel;CM;Lorient;2963;0.09;0.04;0.04;0.24;29.6;0.52;0.04;0.52;0.67;71;1.4;8.18
Charles Abi;FW;Saint-Étienne;912;0.3;0.21;0.11;3.56;36.7;4.36;0.03;0.5;1.19;44.4;2.48;5.64
Matthis Abline;FW;Rennes;2;0;0;0;0;0;0;0;0;1;100;0;0
Pape Abou Cisse;CB;Saint-Étienne;1260;0;0.09;0.09;4.07;79.2;1.14;0.01;0.14;0.36;83.3;0.07;3.21
David Abraham;CB;Eintracht Frankfurt;1222;0.07;0.05;0.07;2.87;60;0.59;0.04;0.22;0.22;50;0;4.71
Tammy Abraham;FW;Chelsea;1040;0.52;0.55;0.2;3.36;58.2;5.69;0.08;0.17;0.52;31.6;1.12;3.28
Amir Abrashi;CM;Freiburg;60;0;0;0;1.43;33.3;0;0;0;0;0;2.86;1.43
Gennaro Acampora;CM;Spezia;441;0;0.06;0.03;0;0;1.63;0;0.61;1.02;41.7;2.45;4.49
Francesco Acerbi;CB;Lazio;2813;0;0.03;0.12;2.46;74.8;0.61;0.03;0.64;0.35;91.7;0.26;4.66
Ragnar Ache;FW;Eintracht Frankfurt;100;0.91;0.27;0.13;11.8;76.5;10;0;0;0;0;3.64;4.55
Marcos Acuña;FB;Sevilla;2330;0.04;0.04;0.06;0.73;38;1.2;0.11;1.39;1.58;68.3;1.27;4.52
Che Adams;FW;Southampton;2667;0.3;0.3;0.16;1.59;25;3.72;0.2;0.84;0.84;56.8;1.76;4.63
Tyler Adams;CM;RB Leipzig;1850;0.05;0.04;0.13;1.21;56.8;0.97;0.04;0.92;0.87;85.7;1.5;5.73
Sargis Adamyan;FW;Hoffenheim;479;0.38;0.42;0.11;1.7;36;8.11;0.32;1.51;0.57;27.3;2.08;2.83
Tosin Adarabioyo;CB;Fulham;2953;0;0.03;0.05;3.05;71.9;1.04;0.01;0.15;0.24;72.7;0.24;1.8
Bobby Adekanye;W;Cádiz;36;0;0.5;0.17;0;0;10;0;0;2.5;50;0;2.5
Yacine Adli;AM;Bordeaux;2418;0.07;0.05;0.06;1.12;54.5;0.78;0.17;0.89;2.04;66.3;1.6;6.91
Andrea Adorante;FW;Parma;10;0;0;0;0;0;0;0;0;0;0;10;10
Adrián;GK;Liverpool;270;0;0;0;0;0;0;0;0;0;0;0;0
Martin Agirregabiria;FB;Alavés;1558;0;0.01;0.1;1.45;51;0.46;0.05;0.92;0.23;50;0.52;3.35
Lucien Agoume;CM;Spezia;800;0;0;0.02;1.12;62.5;0.11;0.01;0.45;0.45;57.1;1.24;4.83
Felix Agu;FB;Werder Bremen;701;0.13;0.08;0.14;1.54;46.2;1.03;0.05;0.51;0.51;33.3;1.54;6.15
Kevin Agudelo;W;Spezia;1356;0.07;0.13;0.1;1.32;35.7;3.91;0.05;0.79;2.65;57.1;2.25;6.62
Nayef Aguerd;CB;Rennes;3147;0.09;0.08;0.1;3.66;69.2;1.06;0.03;0;0.23;72.7;0.29;3
Sergio Agüero;FW;Manchester City;559;0.65;0.29;0.11;0.32;25;8.06;0.21;0.97;1.29;57.1;2.1;4.03
Ruben Aguilar;FB;Monaco;2225;0.04;0.05;0.15;2.02;56.8;2.59;0.19;1.5;0.89;52.4;1.09;5.95
Naouirou Ahamada;CM;Stuttgart;252;0;0.11;0.07;0.36;33.3;1.43;0;0;3.21;69.2;3.21;4.29
Matteo Ahlinvi;CM;Nîmes;899;0.2;0.16;0.14;0.5;31.3;1.4;0.03;0.2;1.8;75;1.8;5.9
Cheikh Ahmadou Dieng;FW;Marseille;129;0;0.14;0.16;0.71;16.7;2.14;0;0;0.71;100;1.43;1.43
